Freq	I(C1)
5.01187233627272e+004	(-2.51057293694646e+001dB,4.59450014081019e-001°)
5.41169526546464e+004	(-2.51056896296643e+001dB,4.25506560544091e-001°)
5.84341413373518e+004	(-2.51056555447108e+001dB,3.94070625601081e-001°)
6.30957344480193e+004	(-2.51056263099730e+001dB,3.64957005487193e-001°)
6.81292069057961e+004	(-2.51056012353014e+001dB,3.37994168233775e-001°)
7.35642254459641e+004	(-2.51055797287431e+001dB,3.13023245904807e-001°)
7.94328234724282e+004	(-2.51055612825715e+001dB,2.89897100807591e-001°)
8.57695898590894e+004	(-2.51055454613033e+001dB,2.68479460313938e-001°)
9.26118728128793e+004	(-2.51055318914205e+001dB,2.48644115281514e-001°)
1.00000000000000e+005	(-2.51055202525539e+001dB,2.30274177509231e-001°)
1.07977516232771e+005	(-2.51055102699209e+001dB,2.13261391796781e-001°)
1.16591440117983e+005	(-2.51055017078393e+001dB,1.97505498722715e-001°)
1.25892541179417e+005	(-2.51054943641635e+001dB,1.82913644373770e-001°)
1.35935639087853e+005	(-2.51054880655131e+001dB,1.69399833581293e-001°)
1.46779926762207e+005	(-2.51054826631791e+001dB,1.56884423470831e-001°)
1.58489319246111e+005	(-2.51054780296141e+001dB,1.45293654403777e-001°)
1.71132830416178e+005	(-2.51054740554204e+001dB,1.34559215468152e-001°)
1.84784979742229e+005	(-2.51054706467679e+001dB,1.24617842086709e-001°)
1.99526231496888e+005	(-2.51054677231785e+001dB,1.15410943316697e-001°)
2.15443469003188e+005	(-2.51054652156263e+001dB,1.06884256602466e-001°)
2.32630506715363e+005	(-2.51054630649079e+001dB,9.89875281218505e-002°)
2.51188643150958e+005	(-2.51054612202447e+001dB,9.16742166245166e-002°)
2.71227257933203e+005	(-2.51054596380841e+001dB,8.49012192130034e-002°)
2.92864456462524e+005	(-2.51054582810709e+001dB,7.86286173466822e-002°)
3.16227766016838e+005	(-2.51054571171659e+001dB,7.28194415950593e-002°)
3.41454887383360e+005	(-2.51054561188891e+001dB,6.74394538031966e-002°)
3.68694506451958e+005	(-2.51054552626710e+001dB,6.24569452829014e-002°)
3.98107170553497e+005	(-2.51054545282962e+001dB,5.78425499878819e-002°)
4.29866234708228e+005	(-2.51054538984257e+001dB,5.35690714214667e-002°)
4.64158883361278e+005	(-2.51054533581884e+001dB,4.96113223448303e-002°)
5.01187233627272e+005	(-2.51054528948290e+001dB,4.59459763880596e-002°)
5.41169526546464e+005	(-2.51054524974075e+001dB,4.25514305059310e-002°)
5.84341413373517e+005	(-2.51054521565407e+001dB,3.94076777281711e-002°)
6.30957344480193e+005	(-2.51054518641806e+001dB,3.64961892023777e-002°)
6.81292069057961e+005	(-2.51054516134245e+001dB,3.37998049716347e-002°)
7.35642254459641e+005	(-2.51054513983520e+001dB,3.13026329203874e-002°)
7.94328234724281e+005	(-2.51054512138853e+001dB,2.89899549868821e-002°)
8.57695898590894e+005	(-2.51054510556689e+001dB,2.68481405817439e-002°)
9.26118728128793e+005	(-2.51054509199673e+001dB,2.48645660511359e-002°)
1.00000000000000e+006	(-2.51054508035766e+001dB,2.30275405001547e-002°)
1.07977516232771e+006	(-2.51054507037488e+001dB,2.13262366871802e-002°)
1.16591440117983e+006	(-2.51054506181269e+001dB,1.97506273303218e-002°)
1.25892541179417e+006	(-2.51054505446893e+001dB,1.82914259811957e-002°)
1.35935639087853e+006	(-2.51054504817022e+001dB,1.69400322097228e-002°)
1.46779926762207e+006	(-2.51054504276785e+001dB,1.56884811726111e-002°)
1.58489319246111e+006	(-2.51054503813425e+001dB,1.45293962530242e-002°)
1.71132830416178e+006	(-2.51054503416003e+001dB,1.34559460144385e-002°)
1.84784979742229e+006	(-2.51054503075136e+001dB,1.24618036864273e-002°)
1.99526231496888e+006	(-2.51054502782776e+001dB,1.15411097921750e-002°)
2.15443469003188e+006	(-2.51054502532020e+001dB,1.06884379245086e-002°)
2.32630506715363e+006	(-2.51054502316947e+001dB,9.89876260863566e-003°)
2.51188643150958e+006	(-2.51054502132481e+001dB,9.16742939739928e-003°)
2.71227257933203e+006	(-2.51054501974264e+001dB,8.49012806923989e-003°)
2.92864456462524e+006	(-2.51054501838562e+001dB,7.86286658472112e-003°)
3.16227766016838e+006	(-2.51054501722172e+001dB,7.28194803453912e-003°)
3.41454887383360e+006	(-2.51054501622344e+001dB,6.74394844599607e-003°)
3.68694506451957e+006	(-2.51054501536722e+001dB,6.24569700138639e-003°)
3.98107170553497e+006	(-2.51054501463284e+001dB,5.78425695716786e-003°)
4.29866234708228e+006	(-2.51054501400297e+001dB,5.35690873042228e-003°)
4.64158883361278e+006	(-2.51054501346274e+001dB,4.96113339470584e-003°)
5.01187233627272e+006	(-2.51054501299938e+001dB,4.59459852383835e-003°)
5.41169526546464e+006	(-2.51054501260195e+001dB,4.25514375258380e-003°)
5.84341413373517e+006	(-2.51054501226109e+001dB,3.94076838567173e-003°)
6.30957344480193e+006	(-2.51054501196873e+001dB,3.64961940790922e-003°)
6.81292069057961e+006	(-2.51054501171797e+001dB,3.37998092746494e-003°)
7.35642254459641e+006	(-2.51054501150290e+001dB,3.13026347178413e-003°)
7.94328234724281e+006	(-2.51054501131843e+001dB,2.89899561106656e-003°)
8.57695898590894e+006	(-2.51054501116021e+001dB,2.68481440078713e-003°)
9.26118728128793e+006	(-2.51054501102451e+001dB,2.48645673579452e-003°)
1.00000000000000e+007	(-2.51054501090812e+001dB,2.30275396279461e-003°)
